student_id,timestamp,current_location,next_location,event_type,crowd_density,time_of_day
199,2026-03-15 08:05:00,stage,canteen,sports,low,morning
172,2026-03-15 08:05:00,lab,canteen,cultural,medium,afternoon
8,2026-03-15 08:05:00,canteen,stage,cultural,medium,evening
175,2026-03-15 08:05:00,lab,canteen,cultural,high,morning
35,2026-03-15 08:05:00,canteen,lab,sports,low,evening
81,2026-03-15 08:05:00,canteen,canteen,technical,high,evening
164,2026-03-15 08:05:00,lab,canteen,sports,high,evening
50,2026-03-15 08:05:00,lab,canteen,technical,medium,afternoon
104,2026-03-15 08:05:00,canteen,lab,sports,low,morning
132,2026-03-15 08:05:00,canteen,stage,cultural,high,afternoon
2,2026-03-15 08:05:00,canteen,lab,cultural,high,morning
134,2026-03-15 08:05:00,stage,stage,cultural,low,evening
54,2026-03-15 08:05:00,canteen,stage,sports,high,evening
106,2026-03-15 08:05:00,stage,canteen,sports,medium,afternoon
4,2026-03-15 08:05:00,canteen,stage,technical,high,evening
54,2026-03-15 08:05:00,stage,stage,sports,medium,evening
191,2026-03-15 08:06:00,canteen,stage,technical,medium,evening
146,2026-03-15 08:06:00,canteen,lab,sports,medium,morning
44,2026-03-15 08:06:00,canteen,lab,cultural,medium,morning
162,2026-03-15 08:06:00,lab,canteen,sports,medium,afternoon
190,2026-03-15 08:06:00,lab,lab,cultural,medium,morning
14,2026-03-15 08:06:00,canteen,stage,sports,high,evening
95,2026-03-15 08:06:00,stage,canteen,technical,low,evening
48,2026-03-15 08:06:00,stage,canteen,sports,high,evening
15,2026-03-15 08:06:00,canteen,lab,cultural,low,afternoon
200,2026-03-15 08:06:00,lab,lab,sports,high,evening
190,2026-03-15 08:06:00,stage,lab,technical,low,evening
40,2026-03-15 08:06:00,lab,stage,technical,high,afternoon
82,2026-03-15 08:06:00,stage,lab,technical,medium,morning
111,2026-03-15 08:06:00,canteen,stage,technical,low,morning
53,2026-03-15 08:06:00,lab,lab,sports,high,morning
24,2026-03-15 08:06:00,stage,canteen,technical,medium,afternoon
154,2026-03-15 08:06:00,canteen,canteen,sports,high,afternoon
188,2026-03-15 08:06:00,canteen,stage,sports,low,evening
124,2026-03-15 08:06:00,canteen,stage,sports,high,evening
41,2026-03-15 08:07:00,lab,lab,technical,high,afternoon
157,2026-03-15 08:07:00,lab,lab,technical,medium,afternoon
15,2026-03-15 08:07:00,canteen,lab,sports,medium,evening
45,2026-03-15 08:07:00,lab,lab,sports,medium,evening
65,2026-03-15 08:07:00,stage,lab,sports,low,evening
89,2026-03-15 08:07:00,canteen,canteen,cultural,medium,morning
71,2026-03-15 08:07:00,canteen,stage,cultural,low,morning
9,2026-03-15 08:07:00,lab,stage,technical,medium,evening
88,2026-03-15 08:07:00,canteen,canteen,cultural,medium,afternoon
129,2026-03-15 08:07:00,stage,canteen,sports,medium,morning
136,2026-03-15 08:07:00,lab,stage,sports,medium,evening
63,2026-03-15 08:07:00,lab,stage,technical,low,morning
139,2026-03-15 08:07:00,canteen,stage,technical,low,afternoon
81,2026-03-15 08:07:00,canteen,lab,cultural,low,afternoon
136,2026-03-15 08:07:00,canteen,stage,sports,medium,afternoon
163,2026-03-15 08:08:00,lab,canteen,technical,medium,evening
163,2026-03-15 08:08:00,canteen,lab,technical,medium,evening
33,2026-03-15 08:08:00,stage,canteen,cultural,low,morning
123,2026-03-15 08:08:00,canteen,stage,technical,high,evening
5,2026-03-15 08:08:00,canteen,canteen,cultural,high,evening
41,2026-03-15 08:08:00,lab,stage,sports,high,evening
28,2026-03-15 08:08:00,canteen,canteen,cultural,low,morning
135,2026-03-15 08:08:00,lab,stage,technical,high,evening
72,2026-03-15 08:08:00,canteen,lab,cultural,low,afternoon
12,2026-03-15 08:08:00,stage,canteen,cultural,low,evening
162,2026-03-15 08:09:00,stage,canteen,sports,medium,evening
33,2026-03-15 08:09:00,lab,canteen,cultural,medium,afternoon
48,2026-03-15 08:09:00,lab,canteen,technical,low,morning
151,2026-03-15 08:09:00,canteen,lab,technical,high,evening
62,2026-03-15 08:09:00,canteen,stage,sports,low,evening
37,2026-03-15 08:09:00,stage,canteen,sports,low,evening
99,2026-03-15 08:09:00,canteen,lab,sports,high,evening
172,2026-03-15 08:09:00,stage,canteen,technical,medium,afternoon
104,2026-03-15 08:09:00,lab,canteen,cultural,low,evening
35,2026-03-15 08:09:00,canteen,canteen,technical,medium,morning
193,2026-03-15 08:09:00,lab,stage,technical,medium,afternoon
101,2026-03-15 08:09:00,canteen,stage,sports,medium,afternoon
175,2026-03-15 08:10:00,stage,stage,sports,low,morning
131,2026-03-15 08:10:00,lab,stage,cultural,high,evening
1,2026-03-15 08:10:00,lab,canteen,cultural,high,evening
5,2026-03-15 08:10:00,canteen,lab,cultural,medium,evening
142,2026-03-15 08:10:00,lab,canteen,cultural,medium,morning
103,2026-03-15 08:10:00,stage,lab,technical,high,afternoon
27,2026-03-15 08:10:00,lab,lab,cultural,medium,evening
137,2026-03-15 08:10:00,lab,lab,technical,high,morning
15,2026-03-15 08:10:00,canteen,lab,technical,high,morning
90,2026-03-15 08:10:00,lab,canteen,cultural,low,evening
42,2026-03-15 08:10:00,canteen,stage,cultural,medium,morning
124,2026-03-15 08:10:00,canteen,lab,technical,medium,evening
179,2026-03-15 08:10:00,lab,lab,sports,low,evening
63,2026-03-15 08:10:00,stage,lab,cultural,high,evening
96,2026-03-15 08:10:00,canteen,lab,sports,medium,afternoon
52,2026-03-15 08:10:00,lab,canteen,technical,low,morning
96,2026-03-15 08:10:00,canteen,canteen,sports,high,afternoon
132,2026-03-15 08:10:00,stage,canteen,technical,low,evening
151,2026-03-15 08:11:00,stage,stage,sports,low,morning
143,2026-03-15 08:11:00,canteen,canteen,sports,low,evening
171,2026-03-15 08:11:00,stage,canteen,sports,low,morning
29,2026-03-15 08:11:00,lab,lab,technical,high,evening
36,2026-03-15 08:11:00,lab,canteen,technical,low,morning
13,2026-03-15 08:11:00,canteen,lab,technical,high,evening
160,2026-03-15 08:11:00,stage,canteen,cultural,low,evening
71,2026-03-15 08:11:00,lab,lab,technical,low,afternoon
187,2026-03-15 08:11:00,lab,stage,cultural,medium,afternoon
86,2026-03-15 08:11:00,lab,lab,technical,medium,morning
28,2026-03-15 08:11:00,canteen,lab,cultural,medium,morning
66,2026-03-15 08:12:00,canteen,stage,sports,medium,afternoon
170,2026-03-15 08:12:00,lab,stage,sports,low,evening
45,2026-03-15 08:12:00,lab,lab,technical,low,evening
62,2026-03-15 08:12:00,stage,stage,cultural,high,morning
185,2026-03-15 08:12:00,stage,canteen,sports,low,morning
134,2026-03-15 08:12:00,stage,canteen,sports,high,evening
28,2026-03-15 08:12:00,canteen,lab,cultural,low,afternoon
28,2026-03-15 08:13:00,lab,lab,technical,low,morning
108,2026-03-15 08:13:00,canteen,canteen,sports,high,evening
44,2026-03-15 08:13:00,lab,canteen,technical,medium,morning
84,2026-03-15 08:13:00,stage,lab,technical,low,afternoon
30,2026-03-15 08:13:00,stage,lab,cultural,medium,morning
190,2026-03-15 08:13:00,stage,lab,cultural,high,evening
75,2026-03-15 08:13:00,stage,canteen,sports,low,afternoon
128,2026-03-15 08:13:00,lab,canteen,cultural,high,evening
92,2026-03-15 08:13:00,stage,canteen,sports,low,afternoon
190,2026-03-15 08:13:00,lab,lab,sports,high,evening
129,2026-03-15 08:13:00,lab,stage,sports,high,morning
121,2026-03-15 08:13:00,canteen,canteen,technical,medium,afternoon
27,2026-03-15 08:13:00,stage,stage,technical,medium,afternoon
190,2026-03-15 08:13:00,stage,canteen,cultural,medium,afternoon
121,2026-03-15 08:13:00,canteen,lab,cultural,low,morning
116,2026-03-15 08:13:00,lab,stage,sports,high,afternoon
3,2026-03-15 08:13:00,stage,canteen,sports,medium,morning
103,2026-03-15 08:13:00,lab,lab,technical,low,morning
198,2026-03-15 08:13:00,canteen,stage,technical,medium,afternoon
200,2026-03-15 08:13:00,lab,lab,sports,low,evening
155,2026-03-15 08:13:00,stage,lab,sports,high,afternoon
137,2026-03-15 08:14:00,lab,lab,cultural,high,evening
62,2026-03-15 08:14:00,lab,canteen,sports,high,evening
165,2026-03-15 08:14:00,stage,stage,sports,low,afternoon
51,2026-03-15 08:14:00,stage,stage,sports,high,afternoon
172,2026-03-15 08:14:00,lab,lab,technical,low,evening
152,2026-03-15 08:14:00,lab,lab,technical,low,afternoon
59,2026-03-15 08:14:00,canteen,lab,cultural,low,afternoon
118,2026-03-15 08:15:00,stage,canteen,cultural,high,morning
160,2026-03-15 08:15:00,lab,stage,cultural,high,evening
96,2026-03-15 08:15:00,stage,canteen,sports,high,morning
180,2026-03-15 08:15:00,canteen,canteen,sports,low,afternoon
113,2026-03-15 08:15:00,lab,lab,technical,high,afternoon
62,2026-03-15 08:15:00,lab,canteen,sports,low,morning
186,2026-03-15 08:15:00,lab,canteen,sports,high,morning
52,2026-03-15 08:15:00,stage,canteen,technical,low,afternoon
12,2026-03-15 08:15:00,canteen,stage,cultural,medium,evening
39,2026-03-15 08:15:00,stage,canteen,sports,high,morning
130,2026-03-15 08:15:00,lab,stage,technical,high,evening
131,2026-03-15 08:15:00,canteen,canteen,technical,low,afternoon
113,2026-03-15 08:15:00,lab,stage,cultural,low,evening
101,2026-03-15 08:15:00,lab,stage,technical,low,evening
113,2026-03-15 08:15:00,stage,canteen,cultural,medium,afternoon
184,2026-03-15 08:15:00,lab,canteen,cultural,high,afternoon
81,2026-03-15 08:16:00,canteen,lab,cultural,low,afternoon
187,2026-03-15 08:16:00,lab,lab,cultural,medium,evening
113,2026-03-15 08:16:00,lab,lab,cultural,medium,morning
2,2026-03-15 08:16:00,stage,lab,technical,low,afternoon
130,2026-03-15 08:16:00,canteen,stage,sports,high,afternoon
54,2026-03-15 08:16:00,stage,canteen,cultural,low,morning
87,2026-03-15 08:16:00,lab,lab,cultural,low,afternoon
129,2026-03-15 08:16:00,stage,lab,sports,low,afternoon
147,2026-03-15 08:16:00,stage,canteen,sports,medium,morning
126,2026-03-15 08:16:00,stage,canteen,cultural,medium,evening
130,2026-03-15 08:17:00,stage,canteen,sports,high,evening
53,2026-03-15 08:17:00,lab,lab,cultural,medium,evening
172,2026-03-15 08:17:00,lab,lab,technical,low,afternoon
160,2026-03-15 08:17:00,canteen,canteen,sports,medium,morning
198,2026-03-15 08:17:00,stage,canteen,sports,high,evening
160,2026-03-15 08:17:00,stage,canteen,technical,low,morning
68,2026-03-15 08:17:00,canteen,canteen,sports,low,evening
183,2026-03-15 08:17:00,stage,lab,technical,medium,evening
184,2026-03-15 08:17:00,canteen,lab,cultural,medium,afternoon
123,2026-03-15 08:17:00,lab,stage,sports,high,evening
145,2026-03-15 08:17:00,canteen,lab,sports,low,evening
38,2026-03-15 08:17:00,stage,canteen,technical,high,morning
24,2026-03-15 08:17:00,canteen,lab,cultural,medium,afternoon
69,2026-03-15 08:17:00,lab,lab,cultural,low,afternoon
116,2026-03-15 08:17:00,stage,lab,technical,medium,evening
98,2026-03-15 08:17:00,lab,canteen,sports,low,afternoon
198,2026-03-15 08:17:00,lab,canteen,sports,high,morning
139,2026-03-15 08:17:00,canteen,stage,technical,low,afternoon
144,2026-03-15 08:18:00,lab,canteen,technical,medium,evening
97,2026-03-15 08:18:00,stage,stage,technical,low,afternoon
124,2026-03-15 08:18:00,lab,canteen,sports,high,afternoon
187,2026-03-15 08:18:00,lab,stage,technical,medium,evening
70,2026-03-15 08:18:00,canteen,canteen,cultural,high,afternoon
93,2026-03-15 08:18:00,lab,canteen,technical,low,afternoon
3,2026-03-15 08:18:00,canteen,lab,cultural,low,evening
148,2026-03-15 08:18:00,canteen,lab,cultural,low,evening
187,2026-03-15 08:18:00,stage,canteen,technical,low,morning
164,2026-03-15 08:18:00,stage,stage,cultural,medium,evening
147,2026-03-15 08:18:00,stage,canteen,sports,low,evening
90,2026-03-15 08:18:00,stage,canteen,technical,medium,afternoon
195,2026-03-15 08:18:00,canteen,canteen,sports,medium,evening
147,2026-03-15 08:18:00,lab,lab,sports,medium,afternoon
148,2026-03-15 08:18:00,stage,canteen,cultural,low,evening
96,2026-03-15 08:18:00,stage,canteen,sports,low,morning
199,2026-03-15 08:19:00,stage,canteen,sports,high,morning
52,2026-03-15 08:19:00,lab,lab,technical,low,afternoon
161,2026-03-15 08:19:00,stage,lab,technical,low,afternoon
168,2026-03-15 08:19:00,lab,canteen,sports,low,afternoon
128,2026-03-15 08:19:00,canteen,canteen,cultural,medium,morning
39,2026-03-15 08:19:00,canteen,canteen,cultural,high,morning
82,2026-03-15 08:19:00,canteen,stage,technical,low,evening
104,2026-03-15 08:19:00,lab,lab,technical,high,evening
129,2026-03-15 08:19:00,stage,canteen,technical,medium,afternoon
11,2026-03-15 08:19:00,stage,stage,cultural,high,morning
185,2026-03-15 08:19:00,stage,canteen,technical,high,evening
178,2026-03-15 08:19:00,stage,canteen,sports,high,morning
151,2026-03-15 08:19:00,stage,lab,cultural,high,morning
159,2026-03-15 08:19:00,lab,lab,sports,high,afternoon
42,2026-03-15 08:20:00,canteen,lab,technical,medium,morning
99,2026-03-15 08:20:00,stage,canteen,cultural,low,afternoon
7,2026-03-15 08:20:00,canteen,lab,technical,high,evening
144,2026-03-15 08:20:00,lab,canteen,cultural,medium,morning
90,2026-03-15 08:20:00,lab,lab,technical,medium,afternoon
112,2026-03-15 08:20:00,stage,stage,cultural,low,morning
60,2026-03-15 08:20:00,lab,canteen,cultural,medium,morning
113,2026-03-15 08:20:00,canteen,canteen,cultural,low,evening
2,2026-03-15 08:20:00,stage,canteen,sports,high,afternoon
129,2026-03-15 08:20:00,stage,lab,technical,medium,morning
48,2026-03-15 08:20:00,canteen,stage,technical,medium,morning
140,2026-03-15 08:20:00,stage,canteen,cultural,medium,evening
197,2026-03-15 08:20:00,stage,canteen,sports,high,morning
37,2026-03-15 08:20:00,canteen,lab,cultural,low,afternoon
160,2026-03-15 08:20:00,stage,canteen,technical,low,afternoon
9,2026-03-15 08:20:00,stage,canteen,technical,medium,afternoon
99,2026-03-15 08:20:00,canteen,lab,cultural,medium,morning
147,2026-03-15 08:20:00,lab,canteen,cultural,high,morning
48,2026-03-15 08:20:00,canteen,canteen,cultural,high,afternoon
131,2026-03-15 08:20:00,stage,canteen,technical,low,morning
148,2026-03-15 08:20:00,canteen,lab,cultural,medium,evening
152,2026-03-15 08:20:00,stage,stage,cultural,medium,afternoon
54,2026-03-15 08:21:00,stage,canteen,technical,medium,evening
120,2026-03-15 08:21:00,canteen,lab,cultural,medium,evening
161,2026-03-15 08:21:00,stage,canteen,sports,high,morning
152,2026-03-15 08:21:00,lab,canteen,technical,high,morning
116,2026-03-15 08:21:00,stage,canteen,cultural,low,afternoon
75,2026-03-15 08:21:00,canteen,stage,cultural,medium,morning
113,2026-03-15 08:21:00,lab,canteen,technical,high,evening
200,2026-03-15 08:21:00,lab,canteen,technical,medium,morning
164,2026-03-15 08:21:00,stage,lab,sports,low,afternoon
166,2026-03-15 08:21:00,canteen,canteen,cultural,medium,morning
104,2026-03-15 08:21:00,stage,lab,cultural,high,evening
84,2026-03-15 08:21:00,stage,canteen,cultural,high,evening
112,2026-03-15 08:22:00,canteen,stage,technical,low,afternoon
99,2026-03-15 08:22:00,canteen,lab,technical,low,afternoon
153,2026-03-15 08:22:00,stage,stage,technical,medium,morning
93,2026-03-15 08:22:00,lab,lab,cultural,medium,morning
146,2026-03-15 08:22:00,stage,lab,cultural,high,afternoon
128,2026-03-15 08:22:00,lab,canteen,technical,high,evening
110,2026-03-15 08:22:00,stage,canteen,sports,high,morning
82,2026-03-15 08:22:00,canteen,canteen,cultural,low,afternoon
194,2026-03-15 08:22:00,lab,canteen,sports,low,afternoon
54,2026-03-15 08:22:00,canteen,canteen,technical,low,evening
163,2026-03-15 08:22:00,canteen,canteen,cultural,medium,afternoon
189,2026-03-15 08:22:00,canteen,lab,sports,low,morning
169,2026-03-15 08:22:00,canteen,stage,cultural,medium,morning
161,2026-03-15 08:22:00,canteen,lab,sports,medium,afternoon
68,2026-03-15 08:22:00,stage,lab,cultural,medium,afternoon
33,2026-03-15 08:22:00,lab,canteen,sports,low,evening
142,2026-03-15 08:23:00,stage,lab,sports,high,evening
21,2026-03-15 08:23:00,stage,canteen,technical,low,afternoon
48,2026-03-15 08:23:00,stage,stage,technical,low,morning
148,2026-03-15 08:23:00,canteen,lab,sports,low,evening
128,2026-03-15 08:23:00,stage,canteen,cultural,medium,afternoon
136,2026-03-15 08:23:00,lab,lab,sports,high,evening
135,2026-03-15 08:23:00,stage,lab,cultural,low,evening
195,2026-03-15 08:23:00,canteen,lab,cultural,low,evening
145,2026-03-15 08:23:00,lab,lab,cultural,medium,evening
128,2026-03-15 08:23:00,lab,lab,cultural,low,evening
33,2026-03-15 08:23:00,lab,stage,technical,low,evening
176,2026-03-15 08:23:00,lab,stage,sports,medium,morning
187,2026-03-15 08:23:00,stage,canteen,cultural,low,evening
115,2026-03-15 08:23:00,canteen,canteen,technical,high,afternoon
119,2026-03-15 08:23:00,lab,canteen,cultural,medium,afternoon
22,2026-03-15 08:23:00,lab,canteen,cultural,high,evening
158,2026-03-15 08:23:00,canteen,lab,technical,low,evening
38,2026-03-15 08:23:00,stage,canteen,technical,medium,afternoon
109,2026-03-15 08:23:00,lab,lab,cultural,medium,evening
51,2026-03-15 08:23:00,stage,canteen,sports,low,afternoon
182,2026-03-15 08:23:00,stage,stage,technical,high,afternoon
8,2026-03-15 08:23:00,stage,canteen,sports,low,morning
27,2026-03-15 08:23:00,stage,canteen,cultural,medium,morning
27,2026-03-15 08:24:00,lab,lab,cultural,medium,afternoon
21,2026-03-15 08:24:00,lab,stage,cultural,medium,evening
30,2026-03-15 08:24:00,stage,canteen,cultural,low,afternoon
97,2026-03-15 08:24:00,stage,canteen,cultural,low,afternoon
28,2026-03-15 08:24:00,canteen,canteen,cultural,low,evening
111,2026-03-15 08:24:00,canteen,stage,sports,high,morning
192,2026-03-15 08:24:00,canteen,stage,technical,high,afternoon
197,2026-03-15 08:24:00,lab,lab,cultural,high,morning
61,2026-03-15 08:24:00,canteen,lab,technical,medium,evening
48,2026-03-15 08:24:00,lab,canteen,sports,high,morning
147,2026-03-15 08:24:00,lab,canteen,cultural,medium,evening
4,2026-03-15 08:24:00,lab,canteen,cultural,high,evening
35,2026-03-15 08:24:00,lab,canteen,technical,high,morning
192,2026-03-15 08:24:00,canteen,lab,technical,medium,afternoon
49,2026-03-15 08:24:00,stage,lab,technical,low,afternoon
17,2026-03-15 08:24:00,stage,canteen,cultural,high,evening
172,2026-03-15 08:24:00,stage,lab,technical,medium,morning
158,2026-03-15 08:24:00,canteen,stage,technical,low,morning
46,2026-03-15 08:25:00,stage,canteen,sports,low,morning
117,2026-03-15 08:25:00,canteen,stage,cultural,low,morning
6,2026-03-15 08:25:00,canteen,stage,cultural,medium,evening
99,2026-03-15 08:25:00,canteen,lab,cultural,high,morning
124,2026-03-15 08:25:00,stage,canteen,technical,high,morning
37,2026-03-15 08:25:00,stage,stage,sports,high,afternoon
24,2026-03-15 08:25:00,stage,lab,technical,low,evening
93,2026-03-15 08:25:00,lab,lab,cultural,high,morning
46,2026-03-15 08:25:00,canteen,lab,technical,medium,morning
181,2026-03-15 08:25:00,lab,lab,cultural,high,evening
95,2026-03-15 08:25:00,canteen,stage,technical,high,evening
99,2026-03-15 08:25:00,stage,lab,technical,high,afternoon
188,2026-03-15 08:25:00,canteen,lab,cultural,high,evening
116,2026-03-15 08:25:00,canteen,lab,technical,medium,morning
191,2026-03-15 08:25:00,lab,lab,cultural,high,afternoon
160,2026-03-15 08:26:00,canteen,canteen,technical,low,morning
161,2026-03-15 08:26:00,stage,lab,technical,high,evening
67,2026-03-15 08:26:00,canteen,canteen,technical,low,evening
128,2026-03-15 08:26:00,canteen,canteen,cultural,low,evening
18,2026-03-15 08:26:00,canteen,stage,technical,low,afternoon
25,2026-03-15 08:26:00,lab,lab,technical,medium,morning
54,2026-03-15 08:26:00,canteen,canteen,sports,low,morning
58,2026-03-15 08:26:00,canteen,canteen,sports,low,afternoon
67,2026-03-15 08:26:00,lab,canteen,cultural,high,evening
104,2026-03-15 08:26:00,lab,lab,cultural,medium,morning
174,2026-03-15 08:26:00,lab,canteen,cultural,medium,evening
24,2026-03-15 08:26:00,lab,lab,cultural,medium,evening
114,2026-03-15 08:26:00,stage,lab,technical,low,morning
32,2026-03-15 08:26:00,stage,canteen,technical,low,evening
175,2026-03-15 08:26:00,canteen,canteen,cultural,low,morning
86,2026-03-15 08:26:00,stage,canteen,cultural,high,morning
151,2026-03-15 08:26:00,canteen,lab,sports,low,afternoon
194,2026-03-15 08:26:00,stage,lab,cultural,medium,morning
127,2026-03-15 08:26:00,lab,canteen,sports,high,afternoon
155,2026-03-15 08:27:00,lab,lab,cultural,high,evening
130,2026-03-15 08:27:00,stage,canteen,cultural,medium,afternoon
17,2026-03-15 08:27:00,stage,canteen,technical,low,evening
104,2026-03-15 08:27:00,canteen,lab,cultural,high,afternoon
161,2026-03-15 08:27:00,canteen,stage,sports,medium,evening
137,2026-03-15 08:27:00,canteen,lab,technical,low,morning
43,2026-03-15 08:27:00,lab,lab,sports,high,afternoon
176,2026-03-15 08:27:00,lab,lab,cultural,high,morning
39,2026-03-15 08:27:00,lab,stage,technical,high,morning
170,2026-03-15 08:27:00,lab,canteen,sports,high,evening
26,2026-03-15 08:27:00,canteen,lab,cultural,high,evening
99,2026-03-15 08:27:00,lab,stage,sports,low,evening
50,2026-03-15 08:27:00,lab,stage,cultural,medium,evening
153,2026-03-15 08:27:00,lab,lab,sports,high,afternoon
152,2026-03-15 08:27:00,lab,canteen,cultural,medium,morning
13,2026-03-15 08:27:00,stage,lab,sports,medium,evening
60,2026-03-15 08:27:00,canteen,stage,technical,medium,morning
135,2026-03-15 08:27:00,canteen,canteen,cultural,low,afternoon
57,2026-03-15 08:28:00,lab,lab,cultural,medium,evening
36,2026-03-15 08:28:00,stage,canteen,sports,medium,afternoon
173,2026-03-15 08:28:00,canteen,lab,cultural,medium,afternoon
20,2026-03-15 08:28:00,canteen,canteen,technical,high,morning
65,2026-03-15 08:28:00,lab,lab,sports,high,morning
8,2026-03-15 08:28:00,lab,canteen,sports,medium,afternoon
144,2026-03-15 08:28:00,canteen,canteen,sports,low,afternoon
142,2026-03-15 08:28:00,canteen,stage,technical,high,evening
115,2026-03-15 08:28:00,stage,canteen,technical,high,morning
143,2026-03-15 08:29:00,canteen,canteen,cultural,medium,afternoon
92,2026-03-15 08:29:00,canteen,canteen,sports,medium,afternoon
98,2026-03-15 08:29:00,lab,canteen,technical,low,morning
66,2026-03-15 08:29:00,canteen,stage,cultural,high,afternoon
32,2026-03-15 08:29:00,lab,stage,technical,medium,evening
191,2026-03-15 08:29:00,canteen,lab,technical,high,afternoon
86,2026-03-15 08:29:00,canteen,canteen,technical,medium,afternoon
51,2026-03-15 08:29:00,canteen,lab,cultural,medium,morning
153,2026-03-15 08:29:00,stage,canteen,technical,low,morning
186,2026-03-15 08:29:00,lab,stage,technical,high,evening
63,2026-03-15 08:29:00,stage,canteen,technical,high,afternoon
190,2026-03-15 08:29:00,canteen,stage,sports,medium,evening
125,2026-03-15 08:29:00,stage,lab,technical,low,afternoon
150,2026-03-15 08:29:00,lab,lab,sports,low,afternoon
58,2026-03-15 08:29:00,canteen,canteen,technical,low,morning
58,2026-03-15 08:29:00,stage,canteen,sports,high,evening
86,2026-03-15 08:29:00,stage,canteen,technical,medium,afternoon
49,2026-03-15 08:29:00,lab,canteen,sports,medium,afternoon
180,2026-03-15 08:29:00,stage,lab,sports,low,morning
170,2026-03-15 08:29:00,lab,stage,sports,low,morning
70,2026-03-15 08:29:00,canteen,canteen,technical,low,morning
15,2026-03-15 08:30:00,canteen,canteen,cultural,high,evening
54,2026-03-15 08:30:00,stage,canteen,sports,medium,evening
